5 ,1
2 ,2
1 ,3
13,4
3 ,5
8 ,6
13,7
2 ,8
17,9
1 ,10
8 ,11
2 ,12
6 ,13
18,13
4 ,15
18,15
6 ,17
17,18
11,19
7 ,20
1 ,21
18,21
10,23
8 ,24
5 ,25
1 ,26
15,27
13,28
15,29
3 ,30
11,31
18,32
3 ,33
11,34
2 ,35
11,36
3 ,37
10,38
9 ,39
9 ,40
2 ,41
17,42
6 ,43
9 ,44
6 ,45
6 ,46
18,46
3 ,48
15,49
1 ,50
7 ,51
5 ,52
8 ,53
5 ,54
16,55
4 ,56
10,57
8 ,58
9 ,59
2 ,60
4 ,61
7 ,61
9 ,62
9 ,63
9 ,64
5 ,65
9 ,66
11,67
4 ,68
18,69
1 ,70
5 ,71
6 ,72
3 ,73
13,74
8 ,75
4 ,76
10,77
8 ,78
2 ,79
18,79
2 ,81
3 ,82
1 ,83
3 ,83
16,83
8 ,84
10,85
10,86
8 ,87
3 ,88
2 ,89
11,90
3 ,91
8 ,92
9 ,93
11,94
5 ,95
4 ,96
5 ,97
14,97
18,98
7 ,99
13,100
11,101
9 ,102
5 ,103
17,104
8 ,105
9 ,106
6 ,106
3 ,107
11,108
1 ,109
6 ,110
10,111
18,111
5 ,113
15,114
4 ,115
9 ,116
18,117
11,118
2 ,119
15,120
2 ,121
9 ,122
1 ,123
16,123
2 ,124
11,125
11,126
18,127
5 ,128
17,129
18,130
8 ,131
9 ,132
8 ,133
1 ,134
7 ,135
3 ,136
1 ,137
1 ,138
11,139
7 ,140
1 ,141
13,142
15,142
7 ,143
1 ,144
7 ,145
8 ,146
5 ,147
6 ,148
7 ,149
11,150
2 ,151
15,152
2 ,153
5 ,154
13,155
5 ,156
3 ,157
10,158
13,159
6 ,160
1 ,161
1 ,162
3 ,163
4 ,164
5 ,165
9 ,166
1 ,167
11,168
10,169
1 ,170
4 ,171
1 ,172
13,173
1 ,174
18,175
7 ,176
13,177
7 ,178
11,179
1 ,180
11,181
5 ,182
11,183
6 ,184
9 ,185
6 ,186
17,187
7 ,188
4 ,189
10,190
7 ,191
14,192
9 ,193
1 ,194
6 ,195
3 ,196
2 ,197
7 ,198
1 ,199
11,200
1 ,201
11,202
3 ,203
2 ,204
6 ,205
9 ,206
10,207
18,208
8 ,209
8 ,210
1 ,211
7 ,212
7 ,213
1 ,214
7 ,215
1 ,216
1 ,217
4 ,218
4 ,219
7 ,220
1 ,221
15,222
7 ,223
4 ,224
7 ,225
7 ,226
12,227
1 ,228
10,228
7 ,228
1 ,229
1 ,230
3 ,231
8 ,232
15,233
6 ,234
16,235
3 ,236
7 ,237
1 ,238
6 ,239
7 ,240
1 ,241
11,242
3 ,243
